,text
10,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**: performance improvement\n\n**What is the current behavior? (You can also link to an open issue here)**: it makes copies of very large objects:\n\n``` javascript\n    it('should not copy verylargeobject', inject(function($rootScope, $compile) {\n      var getProp = jasmine.createSpy('getProp');\n      var verylargeobject = {};\n      Object.defineProperty(verylargeobject, 'prop', {\n        get: getProp,\n        enumerable: true\n      });\n      element = $compile('<div ng-class=""{foo: verylargeobject}""></div>')($rootScope);\n      $rootScope.verylargeobject = verylargeobject;\n      $rootScope.$digest();\n\n      expect(getProp).not.toHaveBeenCalled();\n    }));\n```\n\n**What is the new behavior (if this is a feature change)?**: the user perceives no change but that it is faster with very large objects\n\n**Does this PR introduce a breaking change?**: no\n\n**Please check if the PR fulfills these requirements**\n- [X] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [X] Tests for the changes have been added (for bug fixes / features)\n- [X] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\nThis PR responds to https://github.com/angular/angular.js/pull/14394#issuecomment-207812797 \nIt is alternative to https://github.com/angular/angular.js/pull/14394\n perf(ngClass): refactor to optimize the case of static map of classes with large objects >>> 0"
11,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nrefactor / cleanup, maybe performance gains when creating promises\n\nThis makes `Deferred` a simple wrapper of `Promise`. `Promise`s can now be constructed, chained etc without creating any `Deferred` objects.\n\nBest viewed [ignoring whitespace](https://github.com/angular/angular.js/pull/15064/files/?w=1)\n refactor($q): separate Deferred out of Promise implementation >>> 0"
12,"…dules\n\nThis feature allows the developer to store additional meta data about a\nmodule when it is defined by adding an additional parameter containing\nan object to the `angular.module(moduleName, deps, info, configFn)` call.\n\nDevelopers can then access this information by calling `angular.info(moduleName)`\n\nSee this https://github.com/angular/material/issues/3842 for more background.\n feat(angular.info): optionally store and access additional info on mo… >>> 0"
13,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\n\nfeature\n\n**What is the current behavior? (You can also link to an open issue here)**\n\nNo way to find information about the currently loaded modules\n\n**What is the new behavior (if this is a feature change)?**\n\nTwo new features:\n- a method on `Module` (`info()`) that lets developers add arbitrary info about their modules.\n- a property on `$injector` (`modules`) that lets developers access the module objects that were loaded into the injector at bootstrap.\n\nThis second item could also be useful to @ocombe for his ocLazyLoad project.\n\n**Does this PR introduce a breaking change?**\n\nNo\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [x] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n\nReplaces the previous #12465 PR\n Module info >>> 0"
14,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nFix, Test, Refactor, Perf\n\n**What is the current behavior? (You can also link to an open issue here)**\nBroken, inefficient.\n\n**What is the new behavior (if this is a feature change)?**\nFixed, efficient.\n\n**Does this PR introduce a breaking change?**\nNo (to the best of my knowledge).\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [ ] ~~Docs have been added / updated (for bug fixes / features)~~\n\n**Other information**:\nSupercedes (and partly based on) #14404. Mad props to @drpicox for the initial idea and implementation.\n\nThis PR has been broken up in smaller, focused commits for easier reviewing. Better to review commit by commit (and probably in order). Most commits are (more or less) trivial - except for the last one.\n\nRefactoring commits:\n- 8822006: refactor(ngClass): remove unnecessary dependency on `$animate`\n- 0409589: refactor(ngClass): remove redundant `$observe`r\n- 2871a11: refactor(ngClass): simplify conditions\n- a7e69f7: refactor(ngClass): move helper functions outside the closure\n- 37cec7a: refactor(ngClass): exit `arrayDifference()` early if an input is empty\n\nTest commits:\n- 2705085: test(ngClass): add some tests about one-time bindings and objects inside arrays\n\nFix commits:\n- 0ba4be6: fix(ngClassOdd/Even): keep track of classes even if odd/even do not match index\n\nPerf commits:\n- 89268af: perf(ngClass): only access the element's `data` once\n- 5708424: perf(ngClass): avoid deep-watching (if possible) and unnecessary copies\n\nCloses #14404\n ngClass[Odd/Even] overhaul >>> 0"
15,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nFeature\n\n**What is the current behavior? (You can also link to an open issue here)**\n`input[range]` is not supported.\n\n**What is the new behavior (if this is a feature change)?**\nSupport for `input[range]` can be opted into, by using the `ng-range-input` attribute.\n\n**Does this PR introduce a breaking change?**\nNo.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [x] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\nThis is a POC. Docs need to be updated.\n feat(input): add opt-in support for `input[range]` >>> 0"
16,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nFix\n\n**What is the current behavior? (You can also link to an open issue here)**\nInternationalized Domain Name Urls (IDN), e.g. with an Umlaut, in Edge lead to an infinite digest on page load.\n\n**What is the new behavior (if this is a feature change)?**\nNo Infdig\n\n**Does this PR introduce a breaking change?**\nNo\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n\nFixes #15217\n\nNote:\nWe don't test on Edge yet, but I've tested this locally with the https://github.com/nickmccurdy/karma-edge-launcher \n fix($location): prevent infinite digest with IDN urls in Edge >>> 1"
17,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nFeature\n\n**What is the current behavior? (You can also link to an open issue here)**\n`jqLite(callback)` is not supported.\n\n**What is the new behavior (if this is a feature change)?**\n`jqLite(callback)` is an alias to `jqLite(document).ready(callback)`. The latter is now deprecated.\n\n**Does this PR introduce a breaking change?**\nNo.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [x] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n feat(jqLite): implement jqLite(f) as alias to jqLite(document).ready(f) (also: deprecate the latter in the second commit) >>> 0"
18,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nA behavior change.\n\n**What is the current behavior? (You can also link to an open issue here)**\n`jqLite#data` uses keys unchanged.\n\n**What is the new behavior (if this is a feature change)?**\n`jqLite#data` camelCases keys in its getters/setters. This aligns jqLite with jQuery.\n\n**Does this PR introduce a breaking change?**\nYes.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [ ] Tests for the changes have been added (for bug fixes / features)\n- [ ] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n\nThis is WIP; this might slightly decrease performance so I wanted to discuss it first.\n\nAlso, finishing this would require making our `camelCase` function more strict so I'd like to discuss it first but I think we should do that anyway; the `-moz-` hack doesn't really belong here.\n refactor(data): camelCase keys in jqLite#data >>> 0"
19,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**: benchmark\nAdds a benchmark to measure the impact of changes in ngClass.\n\n**What is the current behavior? (You can also link to an open issue here)**: https://github.com/angular/angular.js/pull/15228#commitcomment-19347288 \n\n**What is the new behavior (if this is a feature change)?** no change\n\n**Does this PR introduce a breaking change?** no\n\n**Please check if the PR fulfills these requirements**\n- [X] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [ ] ~~Tests for the changes have been added (for bug fixes / features)~~\n- [ ] ~~Docs have been added / updated (for bug fixes / features)~~\n\n**Other information**:\nIt adds a benchmark in `benchmarks/ng-class-bp`\nThe benchmark was designed to measure the changes introduced by: https://github.com/angular/angular.js/pull/15228\n\nIt has the following steps:\n- _setup_: cleanups preview, and create structures, not worth to measure\n- _create_: creation of a table/list with the selected number of items and applied classes\n- _$apply_: an apply without changes (compute digest time)\n- _update_: cost of updating classes (changes ng-classes values)\n- _unclass_: cost of removing all classes (falses all ngClass values)\n- _class_: cost of apply classes (applies all classes given already constructed elements)\n- _destroy_: cost of removing everything from dom (usually not worth to measure)\n\nThere are three versions to paint:\n- **optimized table**: a table with optimized ngClass values `ng-class=""'success' && todo.completed""`\n- **unoptimized table**: a table with object ngClass syntaxis: `ng-class=""{success: todo.completed}""`\n- **list**: list of todos with an object ngClass and all cases: `ng-class=""{completed: todo.completed, important: todo.important, urgent: todo.urgent}""`\n- **single optimized**: it computes a single ngClass using a complex object but optimizing the access `ng-class=""{success: !!$ctrl.todos, danger: !$ctrl.todos}""`\n- **single**: it computes a single ngClass using a complex object `ng-class=""{success: $ctrl.todos, danger: !$ctrl.todos}""`\n\nI ran them over the previous version of ngClass and the version of #15228 , the results are:\n- create, update, unclass, class:\n  - variability in create, update, unclass and class seems to have more or less the same performance\n  - the variability seems bigger in the #15228 implementation\n- $apply:\n  - optimized table:\n    - #15228 is around a 25% slower than previous version\n    - in my computer previous version took 0.75ms for 1000 rows, and for  #15228 around 1ms\n    - I think that this implementation is not often used\n  - unoptimized table and list:\n    - #15228 is faster than previous version, around 5x and 10x faster\n    - I ran the benchmark many times just to be sure\n    - previous version has high variability from 7ms ~ 13ms\n    -  #15228 maintains the speed around 1ms\n  - single optimized:\n    - #15228 seems to be slower but there is high variability\n    - times are around 0.02ms ~ 0.08ms\n  - single:\n    - #15228 is really really faster (around more than 100x faster)\n    - times of #15228 are close to single optimized\n    - previous version takes around 1.5ms\n\nI also modified #15228 to use compile instead of link (commented in https://github.com/angular/angular.js/pull/15228#commitcomment-19360023 ). Results are:\n- create:\n  - it improves the performance around 5%~10% (faster compile time)\n- other cases:\n  - no appreciable changes\n\nSo, as a conclusion, it seems that the **#15228  optimizes automatically code in the same fashion that an experienced angular programmers would do** manually. \nIn the other hand, given that 1 frame is around 16ms, we should give 8ms to the browser to update, it leaves 8ms for the application to work. Experiments show that digest loop times moves from values like 8 or 10ms to just 1ms in large lists, or 0.01ms in a single big object condition.\n chore(benchpress): add a ngClass benchmark >>> 0"
20,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nbug,  solving Issue https://github.com/angular/angular.js/issues/14990\n\nCloses #14990\n fix($parse): treat falsy values as defined in assignment expressions >>> 0"
21,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nFix, Test, Refactor, Perf\n\n**What is the current behavior? (You can also link to an open issue here)**\nBroken, inefficient.\n\n**What is the new behavior (if this is a feature change)?**\nFixed, efficient.\n\n**Does this PR introduce a breaking change?**\nNo (to the best of my knowledge).\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [ ] ~~Docs have been added / updated (for bug fixes / features)~~\n\n**Other information**:\nThis is a cleaned up version of #15228 (I didn't want to rebase #15228 to avoid losing existing comments or their context).\n\nSo, #15243 applies to this PR as well.\n ngClass[Odd/Even] overhaul (2) >>> 0"
22,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nRefactor\n\n**What is the current behavior? (You can also link to an open issue here)**\njqLite's camelCasing logic converts not only dashes but also underscores & colons; it also collapses multiple dashes etc.\n\n**What is the new behavior (if this is a feature change)?**\njqLite's camelCasing logic is separated from the one used in compile/sce and more strict, making jqLite more similar to the jQuery behavior. This is also needed to make the new planned data key camelCasing work like in jQuery 3.\n\n**Does this PR introduce a breaking change?**\nYes.\n\n**Please check if the PR fulfills these requirements**\n- [x] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [x] Tests for the changes have been added (for bug fixes / features)\n- [ ] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n\njqLite needs camelCase for it's css method; it should only convert one dash\nfollowed by a lowercase letter to an uppercase one; it shouldn't touch\nunderscores, colons or collapse multiple dashes into one. This is behavior\nof jQuery 3 as well.\n\nThis commit separates jqLite camelCasing from the $compile one (and $sce but\nthat's an internal-only use). The $compile version should behave as before.\n\nAlso, jqLite's css camelCasing logic was put in a separate function and\nrefactored: now the properties starting from an uppercase letter are used by\ndefault (i.e. Webkit, not webkit) and the only exception is for the -ms- prefix\nthat is converted to ms, not Ms. This makes the logic clearer as we're just\nalways changing a dash followed by a lowercase letter by an uppercase one; this\nis also how it works in jQuery.\n\nRef #15126\nFix #7744\n refactor(*): separate jqLite/compile/sce camelCasing logic >>> 0"
23,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)** Feature.\n\n**What is the current behavior? (You can also link to an open issue here)**: \nWith restrict you can reference parent controllers from a children, but if you want to reference children components you need to find them with _jqLike_ and then get the controller.\n\n**What is the new behavior (if this is a feature change)?**: \nIt adds a new directive that assigns the controller of the current DOM element component to any expression. If the element is destroyed (ex: it was inside ngIf or ngRepeat) it assigns a null.\n\n``` html\n<toggle ng-as=""burger""></toggle>\n<menu ng-if=""burger.isVisible""></menu>\n...\n<countdown-timer ng-as=""$ctrl.countdownTimer""></countdown-timer>\n<button ng-click=""$ctrl.relaunch()""></button>\n```\n\n**Does this PR introduce a breaking change?** \nNo.\n\n**Please check if the PR fulfills these requirements**\n- [X] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [X] Tests for the changes have been added (for bug fixes / features)\n- [X] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n\nI present in this PR the implementation of a directive that I use in almost all my projects (and other projects in which I'm consultant) since the last year.\n### Basic use\n\nIt is really simple: it publishes the controller of component in the current scope. Ex:\n\n``` html\n<toggle ng-as=""myToggle""></toggle>\n<button ng-click=""myToggle.toggle();"">Toggle</button>\n<p ng-show=""myToggle.isOpened()"">The toggle is active</p>\n```\n\nso it can be accessed from enclosing components. \nUntil this point, it is a kind of custom `controllerAs` property for parent scope.\n### Using with parent components\n\nIn addition, as following the recommendation did by @petebacondarwin in https://github.com/angular/angular.js/issues/10007#issuecomment-168425866 it is able to assign it to any value, event enclosing controller. Ex:\n\n``` html\n<toggle ng-as=""$ctrl.myToggle""></toggle>\n```\n### ~~Keep track of DOM elements~~\n\nIt also serves to look for exact DOM elements instead of relaying in _jqLite_ searches. In case that there is no a controller, the as directive assigns the current DOM element to the expression set.\n\n``` html\n    <br>From <a href=""https://developer.mozilla.org/en/docs/Web/HTML/Element/audio"">here</a>.<br>\n    <player></player>\n    <script>\n        angular.module('demo').component('player', {\n            template: '' +\n                '<audio as=""$ctrl.audio"" src=""http://developer.mozilla.org/@api/deki/files/2926/=AudioTest_(1).ogg""></audio>' +\n                '<button ng-click=""$ctrl.play()"">Play</button>' +\n                '',\n            controller: function() {\n                this.play = function() {\n                    this.audio.play();\n                };\n            },\n        });\n    </script>\n```\n### _Deprecating_ ngController\n#### Why?\n\nngController is great for SEO webpages, but it has the inconvenience that it does not integrates well with bindings and many things have to be done ""manually"". For example:\n\n``` html\n    <script>\n        angular\n            .module('demo', [])\n            .service('booksService', function() {\n                this.getBook = function(id) {\n                    return { name: 'name'+id, abstract: 'abstract...'+id };\n                };\n            });\n    </script>\n\n    <div ng-controller=""BookDetailController as bookDetailCtrl"" book-id=""1"">\n        <h1>{{bookDetailCtrl.book.name}}</h1>\n        <p>{{bookDetailCtrl.book.abstract}}</p>\n    </div>\n    <script>\n        angular.module('demo').controller('BookDetailController', function(booksService,$attrs) {\n            this.book = booksService.getBook($attrs.bookId);\n        });\n    </script>\n```\n\nIn this example it needs to access to `$attrs` manually to find the bookId. You can imagine more complex functionalities, but I think that this is just enough to expose.\n\nNow, imagine that we do a directive to handle the same behaviour:\n\n``` html\n    <static-book-detail book-id=""2"">\n        <h1>{{bookDetailCtrl.book.name}}</h1>\n        <p>{{bookDetailCtrl.book.abstract}}</p>\n    </static-book-detail>\n    <script>\n        angular.module('demo').directive('staticBookDetail', function() {\n            return {\n                scope: true,\n                controller: function(booksService) {\n                    this.book = booksService.getBook(this.bookId);\n                },\n                controllerAs: 'bookDetailCtrl',\n                bindToController: {\n                    bookId: '@',\n                },\n            };\n            this.book = booksService.getBook($attrs.bookId);\n        });\n    </script>\n```\n\nIt has a conceptual problem: you must know by heart that static-book-detail publishes the `bookDetailCtrl`. \n\nAlternatively you can use a component, which always use `$ctrl` like:\n\n``` html\n    <p>Does not works as expected:</p>\n    <static-book-component book-id=""3"">\n        <h1>{{$ctrl.book.name}}</h1>\n        <p>{{$ctrl.book.abstract}}</p>\n    </static-book-component>\n    <script>\n        angular.module('demo').component('staticBookComponent', {\n            bindings: {\n                bookId: '@',\n            },\n            controller: function(booksService) {\n                this.book = booksService.getBook(this.bookId);\n            },\n        });\n    </script>\n```\n\nbut this naive solution does not works because `$ctrl` is not defined in the same scope that code relies.\n#### Popossal\n\nFinally, using as you can have this solution that seems cleaner and more easy to understand:\n\n``` html\n    <p>It dows works (and no implicit):</p>\n    <static-book-component ng-as=""$ctrl"" book-id=""4"">\n        <h1>{{$ctrl.book.name}}</h1>\n        <p>{{$ctrl.book.abstract}}</p>\n    </static-book-component>\n\n    <script>\n        angular.module('demo').component('staticBookComponent', {\n            bindings: {\n                bookId: '@',\n            },\n            controller: function(booksService) {\n                this.book = booksService.getBook(this.bookId);\n            },\n        });\n    </script>\n```\n\n_Additional Notes_: `ngAs` directive behaviour is very close to **Angular2** `#` template variables. It also copies concepts from _RiotJS_ and _Polymer_ (at least first versions).\n feat(ngAsDirective): new as directive to publish component controllers into current scope  >>> 0"
24,"**What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)**\nBug fix\n\n**What is the current behavior? (You can also link to an open issue here)**\nresult of ngResource.toJSON still include $cancelRequest\n\n**What is the new behavior (if this is a feature change)?**\nremove delete $cancelRequest from ngResource.toJSON's result.\n\n**Does this PR introduce a breaking change?**\nNo\n\n**Please check if the PR fulfills these requirements**\n- [ Y ] The commit message follows our guidelines: https://github.com/angular/angular.js/blob/master/CONTRIBUTING.md#commit-message-format\n- [ N ] Tests for the changes have been added (for bug fixes / features)\n- [ N ] Docs have been added / updated (for bug fixes / features)\n\n**Other information**:\n fix($resource): Delete $cancelRequest from toJSON() >>> 0"
25,nan docs($rootScope.Scope): grammar >>> 0
