@relation 'AllIssues_rxjava-weka.filters.unsupervised.attribute.Remove-R2-3,7,11-12'

@attribute id numeric
@attribute title string
@attribute body string
@attribute commentsBodies string
@attribute repo {RxJava}
@attribute isPullRequest {false,true}
@attribute isLabeled {false,true}
@attribute 'Label bug' {false,true}

@data
10036984,'Operator Buffer','http msdn microsoft com en us library hh212130 v vs 103 aspx http msdn microsoft com en us library hh229308 v vs 103 aspx http msdn microsoft com en us library hh228968 v vs 103 aspx http msdn microsoft com en us library hh229200 v vs 103 aspx http msdn microsoft com en us library hh211764 v vs 103 aspx http msdn microsoft com en us library hh211715 v vs 103 aspx http msdn microsoft com en us library hh229612 v vs 103 aspx http msdn microsoft com en us library hh229813 v vs 103 aspx http msdn microsoft com en us library hh229432 v vs 103 aspx http msdn microsoft com en us library hh229621 v vs 103 aspx','I ll have a look at this operator I ve got something ready Just finishing up documentation and making sure it meets guidelines and coding style I hope to submit a pull request for this soon and would love to get some feedback Good resource on this subject http www introtorx com content v1 0 10621 0 13_TimeShiftedSequences html#Buffer reviewing pull request',RxJava,false,true,false
10037068,'Subject implementations','http msdn microsoft com en us library hh242969 v vs 103 aspx This issue is intended to cover the implementation of various Subjects as part of Rx Net intended for placement in rx subjects','The ReplaySubject was implemented in https github com Netflix RxJava pull 218 Hey I noticed this issue is still open Did I forget to implement a Subject Looks like they are now all done Thank you @michaeldejong',RxJava,false,true,false
10037098,'Operator ToIterable','We already from toObservable Iterable from Iterable add the reverse blocking toIterable similar to the non blocking toList which already exists ToEnumerable from C# http msdn microsoft com en us library hh212132 v vs 103 aspx','ToEnumerable don t seems to be different from ToList First one returns IObservable IList TSource second one IEnumerable TSource The toList operator is non blocking as it returns Observable List T whereas to Iterable is blocking and returns Iterable T The key difference is non blocking versus blocking otherwise yes they behave similarly The other difference though is that toList will wait until the observable sequence is onCompleted and then emit the List whereas toIterable will buffer but start allowing take to be called immediately as each onNext value is emitted Merged By the way a key difference in Java is that Iterable is not an equal dual with Observable whereas IEnumerable is a dual to IObservable in Net where both have extension methods with all the functional operators Since Java doesn t have extension methods we can t do that here At best we could have another parallel framework for wrapping an Iterable',RxJava,false,true,false
10037177,'Rx Schedulers','Implementation of Rx Schedulers http msdn microsoft com en us library hh242963 v vs 103 aspx probably to go into the rx concurrency package https github com Netflix RxJava tree master rxjava core src main java rx concurrency','Interesting quote from that page If you do not use the overload which takes a scheduler as an argument Rx will pick a default scheduler by using the principle of least concurrency This means that the scheduler which introduces the least amount of concurrency that satisfies the needs of the operator is chosen For example for operators returning an observable with a finite and small number of messages Rx calls Immediate For operators returning a potentially large or infinite number of messages CurrentThread is called For operators which use timers ThreadPool is used How would an operator know how many messages it is going to have Only the origin Observable could know that a given operator along the chain won t know so how does this get accomplished I guess this would mean that things like toObservable 1 2 3 4 are a known thing and can be done immediately without a thread but merging 4 unknown sequences can t be known Obviously when Timers are used a Thread of some kind is needed java util Timer or another implementation like this https github com Netflix Hystrix blob master hystrix core src main java com netflix hystrix util HystrixTimer java For the majority of cases though where the cost of the observable sequence is unknown I don t know that I like automatically spawning them off on threads It has worked well for the Netflix API to leave that choice to the origin of the observable to be synchronous or asynchronous one thread or many etc The introduction of Schedulers makes perfect sense when an app is dealing with data structures their own synchronous IO operations or CPU bound computations but it becomes awkward when consuming from a 3rd party API exposing Observables who can and will make their own choice about being synchronous or asynchronous In fact that s been a huge part of the draw to Rx is that the API doesn t need to change when the backend implementations moves between synchronous and asynchronous for whatever reason it may choose to do so If the Observable is already asynchronous it would be inefficient to spin up another thread that in turn blocks on an async call Other than documentation on the API calls that return Observables is there a better way to handle that scenario I can imagine a scenario where some apps such as the Netflix API may want to disable any use of Schedulers so the origin retains control since Rx has allowed us to decouple the writing of business logic from the decisions of concurrency Before flaming me I DO like schedulers it s very powerful and we will definitely get them added I just have some questions about balancing that power and inevitable inefficiencies of making poor scheduler choices with the elegant simplicity of Rx Observables without them where concurrency is not a thought everything is just asynchronous I m interested in all of your perspectives so please chime in The docs say least amount of concurrency which I interpreted to mean that if the amount of work is unknown that it would it default to immediate We could still manipulate the defaults and probably ignore Schedulers passed in through a strategy Yes I think a strategy pattern will be needed to accomplish the Netflix API use case Some thoughts while working on the design of this The Scheduler interface should be capable of supporting different sources of concurrency such as Executors Threads Actors EventLoops We should be capable of supporting rxjava contrib modules with new types of Schedulers such as for Akka Scala Actors We need the ability via plugins probably of a system to override or prevent usage of Schedulers where they want For example if a system doesn t want client code starting threads they should be able to intercept and ignore or throw UnsupportedOperationException Sections 6 9 through 6 12 of the Rx Design Guidelines PDF http go microsoft com fwlink LinkID 205219 should be read by anyone involved in Schedulers design and implementation There s also this video http channel9 msdn com blogs j van gogh controlling concurrency in rx explaining the motivation behind introducing schedulers in Rx Good video thanks for the link First round of Schedulers implementation committed via pull request https github com Netflix RxJava pull 225 contribued by @mairbek It implements ObserveOn https github com Netflix RxJava issues 11 and SubscribeOn https github com Netflix RxJava issues 12 Open questions ### 1 Scheduler Time We re not using the Scheduler now value anywhere should we be or is that only for the Virtual scheduler used for testing ### 2 Use of SubscribeOn vs Scheduler scheduler I m trying to understand how operator overloads should use Scheduler Here is a potential implementation https github com Netflix RxJava pull 227 and another https github com Netflix RxJava pull 226 I have not yet found C# source code or documentation that clarifies this I have also had feedback that I agree with that it this is clearer java merge o1 o2 subscribeOn scheduler than this java merge o1 o2 scheduler So is there anything different between this ### 3 Multiple Schedulers in Sequence I m trying to understand how a sequence should work when multiple subscribeOn operators are applied at different steps of a sequence and it is unclear to me how the unit test below should behave Can someone with an Rx Net environment setup implement a test similar to this from Java and tell me the output java @Test public void testMixedSchedulers throws InterruptedException final String mainThreadName Thread currentThread getName Observable String o Observable String create new Func1 Observer String Subscription @Override public Subscription call Observer String observer System out println Origin observable is running on Thread currentThread getName assertFalse Thread currentThread getName equals mainThreadName assertTrue Actually Thread currentThread getName Thread currentThread getName startsWith RxIOThreadPool observer onNext one observer onNext two observer onNext three observer onCompleted return Subscriptions empty subscribeOn Schedulers threadPoolForIO subscribe to the source on the IO thread pool now merge on the CPU threadpool o Observable String merge o Observable String from four five subscribeOn Schedulers threadPoolForComputation map new Func1 String String @Override public String call String v opportunity to see what thread the merge is running on System out println Merge is running on Thread currentThread getName return v final CountDownLatch latch new CountDownLatch 1 final AtomicReference RuntimeException onError new AtomicReference RuntimeException subscribe on a new thread o subscribe new Observer String @Override public void onCompleted System out println received onCompleted latch countDown @Override public void onError Exception e System out println received onError e getMessage onError set RuntimeException e latch countDown @Override public void onNext String v System out println Final subscribe is running on Thread currentThread getName System out println onNext v Schedulers newThread wait for the above to finish or blow up if it s blocked latch await 5 TimeUnit SECONDS Of course Rx Net doesn t have the IO and CPU thread pools those are just helper methods to Executors which would be 2 separate threadpools for different work types so you ll need to adjust that Concerning 1 I guess it will come in handy when implementing #90 or clock like observables in general at least if I understand this correctly I m currently figuring out how working with the schedulers feels by playing around with an implementation for #74 which also requires a clock though it doesn t seem to require the current time I received the following feedback that will require a breaking change to the Scheduler interface It is essential to be able to access the scheduler inside the action to recursively schedule yourself Just having a Func1 Subscription is not very useful since there is no opportunity to return the subscription before the function terminates C# Interface IScheduler Schedule TState TState s Func IScheduler TState IDisposable a Schedule TState TState s DateTimeOffset d Func IScheduler TState IDisposable a Schedule TState TState s TimeSpan t Func IScheduler TState IDisposable a You want to be able to write something like this C# void Main var repeat Observable Create int observer while true observer OnNext 42 return var dispose repeat Subscribe Console WriteLine var dispose ObservableEx ToObservable NewThreadScheduler Default Select _ 42 Subscribe x Console WriteLine x Console ReadLine dispose Dispose Console WriteLine Bye static class ObservableEx public static IObservable Unit ToObservable this IScheduler scheduler return Observable Create Unit observer return scheduler ScheduleAsync async _scheduler token while token IsCancellationRequested observer OnNext Unit Default await _scheduler Sleep TimeSpan FromSeconds 2 Here is another use case C# var scheduler TaskPoolScheduler Default var xs Observable Generate 0 i true i i 1 i i i TimeSpan FromSeconds 1 scheduler var ys Observable Create int observer return scheduler ScheduleAsync async _scheduler cancel await _scheduler Yield for var i 0 cancel IsCancellationRequested i observer OnNext i await _scheduler Sleep TimeSpan FromSeconds 1 var dispose ys Timestamp Subscribe x Console WriteLine x ToString var dispose ys Timestamp DumpLive Subscribe Console ReadLine dispose Dispose Console WriteLine disposed Console ReadLine Note that I m unavailable to work on this until the 15th Anyone else who wants to jump in and determine the changes needed based on this feedback please do Here is some simple code I was playing with to prove out the use of subscribeOn from an Observable API and it appears to be working as we want and from what I can tell it is conforming to the Rx contract and not injecting concurrency where it shouldn t Anyone find faults in this groovy import rx import rx concurrency Schedulers PRODUCER CODE This is the Observable API Observable Video getVideos return Observable create observer Thread sleep 200 simulate network traffic 10 videos are fetched in a batch and emitted observer onNext new Video 1 observer onNext new Video 2 observer onNext new Video 3 observer onNext new Video 4 observer onNext new Video 5 observer onNext new Video 6 observer onNext new Video 7 observer onNext new Video 8 observer onNext new Video 9 observer onNext new Video 10 observer onCompleted class Video final int id public Video int id this id id Observable Rating getRating return Observable create observer Thread sleep 200 simulate network traffic observer onNext new Rating id observer onCompleted subscribeOn Schedulers threadPoolForIO Observable Bookmark getBookmark return Observable create observer Thread sleep 200 simulate network traffic observer onNext new Bookmark id observer onCompleted subscribeOn Schedulers newThread class Rating final String value public Rating int id this value ratingFor_ id class Bookmark final String value public Bookmark int id this value bookmarkFor_ id CONSUMER CODE This is a client consuming the Observable API long start System currentTimeMillis getVideos mapMany Video video fetch and transform bookmark Observable ob video getBookmark map b return transformed b value fetch ratings and zip together with bookmark return Observable zip ob video getRating b r return b value r value map tuple combine all metadata for a single Video return id video id bookmark tuple 0 rating tuple 1 forEach videoMap System out println Video videoMap id bookmark videoMap bookmark rating videoMap rating Thread Thread currentThread long end System currentTimeMillis System out println time end start Output is Video 5 bookmark transformed bookmarkFor_5 rating ratingFor_5 Thread Thread RxIOThreadPool 5 5 main Video 9 bookmark transformed bookmarkFor_9 rating ratingFor_9 Thread Thread RxIOThreadPool 9 5 main Video 10 bookmark transformed bookmarkFor_10 rating ratingFor_10 Thread Thread RxIOThreadPool 10 5 main Video 2 bookmark transformed bookmarkFor_2 rating ratingFor_2 Thread Thread RxIOThreadPool 2 5 main Video 4 bookmark transformed bookmarkFor_4 rating ratingFor_4 Thread Thread RxIOThreadPool 4 5 main Video 8 bookmark transformed bookmarkFor_8 rating ratingFor_8 Thread Thread RxIOThreadPool 8 5 main Video 6 bookmark transformed bookmarkFor_6 rating ratingFor_6 Thread Thread RxIOThreadPool 6 5 main Video 3 bookmark transformed bookmarkFor_3 rating ratingFor_3 Thread Thread RxIOThreadPool 3 5 main Video 7 bookmark transformed bookmarkFor_7 rating ratingFor_7 Thread Thread RxIOThreadPool 7 5 main Video 1 bookmark transformed bookmarkFor_1 rating ratingFor_1 Thread Thread RxIOThreadPool 1 5 main time 659 @benjchristensen I m left wondering if or how question 3 from your comment https github com Netflix RxJava issues 19#issuecomment 15979582 was addressed or whether this is still an open question In our app we haven t quite figured out yet which layer should be responsible for scheduling an observable If we schedule on the service layer which would make sense when trying to make client code oblivious as to whether code runs concurrently or not then what does that mean for reusability of observables Would say service A be able to take an observable from service B which has already been scheduled by B transform and re schedule it With the pre 0 8 Schedulers this is not possible since subscribeOn observeOn will wrap as many times as you call these methods I think the JavaDocs haven t been updated yet http netflix github io RxJava javadoc rx Scheduler html Is there any documentation examples around what the state parameter is used for Looking at the existing schedulers I only ever see it being passed through so I wonder what this accomplishes Here s an example by @mairbek using state https github com Netflix RxJava pull 229#issuecomment 16115941 I forgot to upload the new Javadocs will do so once I m at my laptop Sorry about that @mttkay I found wifi uploaded javadocs for 0 8 0 Also the example from @mairbek was incorporated into unit tests here https github com Netflix RxJava blob master rxjava core src test java rx concurrency TestSchedulers java#L255 I believe we re pretty comfortable with the Schedulers implementation and interface as of 0 11 0 12 so closing this out',RxJava,false,true,false
10037397,'Operator Aggregate','Add aggregate or alias to reduce http msdn microsoft com en us library hh229154 v vs 103 aspx','Done in pull request #257',RxJava,false,true,false
10037410,'Operator All','http msdn microsoft com en us library hh229537 v vs 103 aspx','',RxJava,false,true,false
10037427,'Operator Amb','http msdn microsoft com en us library hh229115 v vs 103 aspx http msdn microsoft com en us library hh229733 v vs 103 aspx http msdn microsoft com en us library hh211783 v vs 103 aspx','',RxJava,false,true,false
10037450,'Operator And','http msdn microsoft com en us library hh229153 v vs 103 aspx http msdn microsoft com en us library hh229905 v vs 103 aspx','This operation requires a join pattern sub framework to be created rx joins Additionally due to method arities this might require Action4 Action9 ActionN classes I have these in pull #505 if decided However I don t quite understand the join patterns as most of the Rx NET classes are internal and without documentation I can convert it to java but no idea what tests to create for them',RxJava,false,true,false
10037461,'Operator Any','http msdn microsoft com en us library hh229905 v vs 103 aspx http msdn microsoft com en us library hh211993 v vs 103 aspx','I think this issue can be closed',RxJava,false,true,false
10037522,'Operator Average','http msdn microsoft com en us library hh211950 v vs 103 aspx http msdn microsoft com en us library hh229389 v vs 103 aspx http msdn microsoft com en us library hh211732 v vs 103 aspx http msdn microsoft com en us library hh211857 v vs 103 aspx http msdn microsoft com en us library hh211744 v vs 103 aspx http msdn microsoft com en us library hh211770 v vs 103 aspx http msdn microsoft com en us library hh212005 v vs 103 aspx http msdn microsoft com en us library hh229502 v vs 103 aspx http msdn microsoft com en us library hh229070 v vs 103 aspx http msdn microsoft com en us library hh229012 v vs 103 aspx','',RxJava,false,true,false
10037578,'Operator Cast','http msdn microsoft com en us library hh211842 v vs 103 aspx','',RxJava,false,true,false
10042768,'Scala adaptor','','Reviewed by Ben C',RxJava,true,false,false
10112208,'Operator Catch','http msdn microsoft com en us library hh229103 v vs 103 aspx http msdn microsoft com en us library hh211934 v vs 103 aspx http msdn microsoft com en us library hh211765 v vs 103 aspx How does this relate to this public static T Observable T onErrorResumeNext final Observable T that final Func1 Exception Observable T resumeFunction','If this gets added it would be part of rxjava contrib rxjava computation expressions Closing out though as it is not a required operator',RxJava,false,true,false
10112222,'Operator CombineLatest','http msdn microsoft com en us library hh211991 v vs 103 aspx','What s the status on this operator There is some code but the tests look a bit different from what I would expect this operator to do Shouldn t java w1 Observer onNext 1a w1 Observer onCompleted w2 Observer onNext 2a w2 Observer onNext 2b w2 Observer onCompleted w3 Observer onNext 3a w3 Observer onNext 3b w3 Observer onNext 3c w3 Observer onNext 3d w3 Observer onCompleted generate 1a2b3a then 1a2b3b then 1a2b3c then 1a2b3d Because it starts with the latest values of w1 and w2 as soon as w3 fires its first string To me this currently looks a bit like a mixture between zip and combineLatest But maybe I m understanding the semantics of combineLatest wrong The current code seems to still wait for an onNext from each combined observable before firing its own onNext I d love to try and fix that if you can confirm that I understand combineLatest correctly As I m reading through this I m using the following to research the expected behavior http blogs microsoft co il blogs bnaya archive 2010 03 10 rx for beginners part 8 combine latest expression aspx http theburningmonk com 2010 03 rx framework iobservable combinelatest Like IObservable T Zip IObservable T CombineLatest com bines pairs of val ues from the two observ able col lec tions but unlike Zip when a new value becomes avail able on one col lec tion it does not wait till a new value to be avail able on the other col lec tion instead it takes what ever the lat est value is from the other col lec tion pro vided there is one The test case appears to be as follows x onNext 1 y onNext a x onNext 2 x onNext 3 y onNext b x onNext 4 This should result in a1 a2 a3 b3 b4 On each onNext from whatever sequence sends it the combination will be emitted using whatever the latest value is Extrapolating that into a unit test I get something like this java @Test public void testCombineLatestDifferentLengthObservableSequencesWithInterleaving1 Observer String w mock Observer class TestObservable x new TestObservable TestObservable y new TestObservable Observable String combineLatestW Observable create combineLatest y x getConcat2StringsCombineLatestFunction combineLatestW subscribe w simulate sending data x Observer onNext 1 y Observer onNext a x Observer onNext 2 x Observer onNext 3 y Observer onNext b x Observer onNext 4 x Observer onCompleted y Observer onCompleted we should have been called 5 times on the Observer InOrder inOrder inOrder w inOrder verify w onNext a1 inOrder verify w onNext a2 inOrder verify w onNext a3 inOrder verify w onNext b3 inOrder verify w onNext b4 inOrder verify w times 1 onCompleted This test fails with current code So yes the current implementation is wrong and it s crazy complicated I ll take a look at your pull request for this fix hopefully tomorrow though I have a lot of meetings so Thank you @jmhofer I agree Your test should work with my pull request as I ve added a similar test Also I simplified the code a bit but I wasn t sure how thoroughly I could should rework it so I kept the basic structure I guess the complexity mostly comes from the Zip operator it seems to have been copied from originally The one thing I m still unsure of is when the combined stream should complete That first of your links above says the Combine Latest processing will come to end either when one of the stream will complete or throw exception However I don t really see a reason why it should complete before all streams are complete I haven t found any other specification yet for cross checking this You can change the implementation to whatever makes sense as I obviously misunderstood the behavior when I implemented this long ago and stole the base functionality from zip which starts it from the wrong place altogether since it shouldn t do queuing and thus doesn t need a lot or any of the synchronization the zip requires Your last question is a good one If an onError is received at any time the whole thing should finish and propagate the error For the onCompleted question I m not sure the C# code will provide the definitive answer I ll try to review that no time right now unless you can beat me to it or find a better answer somewhere else https rx codeplex com SourceControl changeset view aa25748a430e#Rx NET Source System Reactive Linq Reactive Linq Observable CombineLatest cs Another way would be a Rx Net or RxJS test case if you have access to either of those or someone who does The C# code looks very much like they complete only when all streams are complete when there are no errors That s good then the pull request code should already handle that correctly Great then I ll proceed with the review and merge I appreciate your willingness to dive into this one and deal with that gnarly code So if I understand correctly synchrononous blocking sequences make combineLatest behavior rather odd such as this where only the last value of the first sequence will ever show up in the combined values java Observable String w Observable create combineLatest Observable toObservable one two Observable toObservable 2 3 4 combineLatestFunction w subscribe aObserver verify aObserver times 1 onNext two2 verify aObserver times 1 onNext two3 verify aObserver times 1 onNext two4 Yes I think so I came to that conclusion too latest doesn t really make much sense in the synchronous case I updated my pull request I had previously forgotten to adapt the comments Also I cleaned up the code a bit and tried to fix synchronization it s hard as always I have merged pull request https github com Netflix RxJava pull 207 to resolve this issue',RxJava,false,true,false
10112240,'Operator Concat','http msdn microsoft com en us library hh212124 v vs 103 aspx http msdn microsoft com en us library hh229289 v vs 103 aspx http msdn microsoft com en us library hh211916 v vs 103 aspx http msdn microsoft com en us library hh212146 v vs 103 aspx','',RxJava,false,true,false
10112255,'Operator Contains','http msdn microsoft com en us library hh228965 v vs 103 aspx http msdn microsoft com en us library hh229815 v vs 103 aspx','',RxJava,false,true,false
10112265,'Operator Count','http msdn microsoft com en us library hh229470 v vs 103 aspx','',RxJava,false,true,false
10112333,'Confirm Create Operator','The create operator is already implemented but need to confirm all overloads and use cases are accounted for http msdn microsoft com en us library hh229122 v vs 103 aspx http msdn microsoft com en us library hh229114 v vs 103 aspx','',RxJava,false,true,false
10112672,'Operator DefaultIfEmpty','http msdn microsoft com en us library hh229332 v vs 103 aspx http msdn microsoft com en us library hh229624 v vs 103 aspx','',RxJava,false,true,false
10112685,'Operator Defer','http msdn microsoft com en us library hh229160 v vs 103 aspx','',RxJava,false,true,false
10112709,'Operator Delay','http msdn microsoft com en us library hh229677 v vs 103 aspx http msdn microsoft com en us library hh229810 v vs 103 aspx http msdn microsoft com en us library hh229250 v vs 103 aspx http msdn microsoft com en us library hh229280 v vs 103 aspx','Once we have this operator we can implement Time Flies Like An Arrow http reactive extensions github io RxJS Examples timeflies timeflies html Pretty I ll see what I can do @benjchristensen What about implementing delay as combination of interval and first operations @lexer I don t think that can get us the needed functionality Here is the discussion https github com Netflix RxJava pull 384#issuecomment 26393612 Delay is implemented',RxJava,false,true,false
10112746,'Operator Dematerialize','http msdn microsoft com en us library hh229047 v vs 103 aspx','',RxJava,false,true,false
10112785,'Operator Distinct','http msdn microsoft com en us library hh229764 v vs 103 aspx http msdn microsoft com en us library hh211630 v vs 103 aspx http msdn microsoft com en us library hh244310 v vs 103 aspx http msdn microsoft com en us library hh229050 v vs 103 aspx','',RxJava,false,true,false
10112788,'Operator DistinctUntilChanged','http msdn microsoft com en us library hh229494 v vs 103 aspx http msdn microsoft com en us library hh229776 v vs 103 aspx http msdn microsoft com en us library hh229508 v vs 103 aspx http msdn microsoft com en us library hh229533 v vs 103 aspx','',RxJava,false,true,false
10112812,'Operator Do','http msdn microsoft com en us library hh229804 v vs 103 aspx http msdn microsoft com en us library hh229307 v vs 103 aspx http msdn microsoft com en us library hh229659 v vs 103 aspx http msdn microsoft com en us library hh229539 v vs 103 aspx http msdn microsoft com en us library hh229830 v vs 103 aspx','was trying to implement this but since do is a java keyword we ca t have it as a method name net js use Do with caps ReactiveCocoa uses doNext doError and doCompleted Should rxjava too use this naming standard I don t see how we would have all 3 of doNext doError and doCompleted as method names as those are the various overload arguments being passed in For the method name I wish forEach wasn t used for the synchronous version as that is exactly what this is Options I can think of are doForEach doOnEach for each onEach doTo This should be easy to implement using map since it seems to basically be map except it always returns the same type T instead of allowing it to be transformed Am I understanding it correctly I believe the method signatures will end up looking like this once we figure out the name java Observable T nameOfFunction Observable T source Action1 T onNext Observable T nameOfFunction Observable T source Observer T observer Observable T nameOfFunction Observable T source Action1 T onNext Action onCompleted Observable T nameOfFunction Observable T source Action1 T onNext Action1 Exception onError Observable T nameOfFunction Observable T source Action1 T onNext Action1 Exception onError Action onCompleted Does this function allow modifying the values or does it always return the exact same Observable source In other words is this only for performing side effects I think a function name with do prefix might be better Coming from a net rx rac I would expect a do method Yes it can be easily implemented using map but this would only work for onNext Migt have to use mapMany or materialize dematerialize combination for others Some info on rx do http stackoverflow com q 8732001 157260 OperationMap creates a new MapObserver with every subscription As a consequence func is evaluated for every onNext as many times as there are subscriptions While this might be ok for pure functions it would be very inconvenient for a do observable that is only there for its side effects e g something that logs events Generally operators in a sequence do execute each time they are subscribed to unless something like publish multicast replay etc caches the results of a subscription and becomes the source of a new sequence The documentation I ve read is very unclear regarding do but I don t see anything implying that it would ignore subsequence subscribe invocations For example groovy def o anObservable take 5 map transformHere merge anotherObservable do doSideEffectsHere subscribe to it once o subscribe then subscribe again with another transformation done o map anotherTransformation subscribe With sequence o being subscribed to twice I don t see anything about it that says it should cache everything before it and only be invoked once It seems to me that it will perform the side effects twice unless the sequence has publish multicast refCount etc put into def o anObservable take 5 map transformHere merge anotherObservable do doSideEffectsHere publish refCount The code above adds publish refCount which will cause the previous operators to be executed only once and shared to all subsequent subscriptions http northhorizon net 2011 sharing in rx Here is the Net code for do https rx codeplex com SourceControl changeset view 332fa75ecdb1#Rx NET Source System Reactive Linq Reactive Linq Observable Do cs I m not experienced with C# so can t guarantee I understand it but I see nothing in that code that automatically is caching the sequence Thus I think the do operator will be executed each time just like other operators when subscribed to Am I misunderstanding something about the contract specified by Rx Net @prabirshrestha It makes sense to keep the do prefix so what do you prefer of these doForEach doOnEach doTo Is there a better option I lean towards doOnEach because on fits the onNext onError onCompleted naming convention @benjchristensen Even I preferred doOnEach That was what I started to use Thus I think the do operator will be executed each time just like other operators when subscribed to Thats right I will verify this with net too @mva do operator can be used to follow divide and conquer pattern to Here is a c# sample code from http www codeproject com Articles 132966 Exploring Reactive Extensions Rx through Twitter a c# Observable FromEvent TextChangedEventArgs searchTextBox TextChanged Select e TextBox e Sender Text Where text text Length 2 Do s searchResults Opacity 0 5 reduce list opacity when typing Throttle TimeSpan FromMilliseconds 400 ObserveOnDispatcher Do s LoadingIndicator Visibility Visibility Visible show the loading indicator SelectMany txt searchTwitter txt Select searchRes ParseTwitterSearch searchRes ObserveOnDispatcher Do s LoadingIndicator Visibility Visibility Collapsed hide the loading indicator Do s searchResults Opacity 1 return the list opacity to one Subscribe tweets searchResults ItemsSource tweets I found using do in mobile apps this way really useful @benjchristensen I think I am starting to understand the distinction you are making The side effect of a do is not owned by the single observable instance but rather by its potentially many subscribers Using logging as an example this makes perfect sense for a cold passive observable because every value send to a subscriber is independent of all other values and deserves its own log entry On the other hand if I want to log the output of a hot active observable irregardless of the possibly zero number of subscribers I would put the do on the path from the observable to a Publish Connect Here exactly one log entry would be written for each value produced by the hot observable Thank you for your explanation',RxJava,false,true,false
10112836,'Operator ElementAt and ElementAtOrDefault','http msdn microsoft com en us library hh229725 v vs 103 aspx http msdn microsoft com en us library hh229845 v vs 103 aspx','I think this issue can be closed',RxJava,false,true,false
10112843,'Operator Empty with scheduler','http msdn microsoft com en us library hh229066 v vs 103 aspx','',RxJava,false,true,false
10112855,'Operator Finally','http msdn microsoft com en us library hh212133 v vs 103 aspx','@abliss Pull Request https github com Netflix RxJava pull 196 was manually merged via @joshgord s Pull Request https github com Netflix RxJava pull 222 @joshgord is working on unit tests of Exceptions getting thrown by operation in finally block Once that s done this issue will be closed Here is the test case @mattrjacobs is referring to @Test public void testFinallyError Action0 errorAction new Action0 @Override public void call throw new RuntimeException boo try Observable create finallyDo Observable toObservable foo errorAction subscribe aObserver fail catch Exception e pass We will address the exception handling in another issue and will close this one out now Thank you very much @abliss for you contribution',RxJava,false,true,false
10112874,'Operator First and FirstOrDefault','http msdn microsoft com en us library hh229177 v vs 103 aspx http msdn microsoft com en us library hh229739 v vs 103 aspx http msdn microsoft com en us library hh229320 v vs 103 aspx http msdn microsoft com en us library hh229759 v vs 103 aspx','',RxJava,false,true,false
10112884,'Operator ForEach','http msdn microsoft com en us library hh211815 v vs 103 aspx','',RxJava,false,true,false
